Calle principal verde:
sema1_1 verde peaton1_1 rojo
sema1_2 verde peaton1_2 rojo
sema1_3 verde peaton1_3 rojo
sema1_4 verde peaton1_4 rojo

sema2_1 verde peaton2_1 rojo
sema2_2 verde peaton2_2 rojo
sema2_3 verde peaton2_3 rojo
sema2_4 verde peaton2_4 rojo

sema3_1 rojo peaton3_1 verde
sema3_2 rojo peaton3_2 verde
sema3_3 rojo peaton3_3 verde
sema3_4 rojo peaton3_4 verde

sema4_1 rojo peaton4_1 verde
sema4_2 rojo peaton4_2 verde
sema4_3 rojo peaton4_3 verde
sema4_4 rojo peaton4_4 verde
------------------------------
Calle principal rojo:
sema1_1 rojo peaton1_1 verde 
sema1_2 rojo peaton1_2 verde 
sema1_3 rojo peaton1_3 verde 
sema1_4 rojo peaton1_4 verde 

sema2_1 rojo peaton2_1 verde 
sema2_2 rojo peaton2_2 verde 
sema2_3 rojo peaton2_3 verde 
sema2_4 rojo peaton2_4 verde

sema3_1 verde peaton3_1 rojo
sema3_2 verde peaton3_2 rojo
sema3_3 verde peaton3_3 rojo
sema3_4 verde peaton3_4 rojo

sema4_1 verde peaton4_1 rojo
sema4_2 verde peaton4_2 rojo
sema4_3 verde peaton4_3 rojo
sema4_4 verde peaton4_4 rojo
-----------------------------
Ejemplo puslar peaton1_1 o peaton1_2:
sema1_1 rojo peaton1_1 verde
sema1_2 rojo peaton1_2 verde
sema1_3 rojo peaton1_3 verde
sema1_4 rojo peaton1_4 verde

sema2_1 verde peaton2_1 rojo
sema2_2 verde peaton2_2 rojo
sema2_3 verde peaton2_3 rojo
sema2_4 verde peaton2_4 rojo

sema3_1 verde peaton3_1 rojo
sema3_2 verde peaton3_2 rojo
sema3_3 verde peaton3_3 rojo
sema3_4 verde peaton3_4 rojo

sema4_1 rojo peaton4_1 verde
sema4_2 rojo peaton4_2 verde
sema4_3 rojo peaton4_3 verde
sema4_4 rojo peaton4_4 verde
-----------------------------
Ejemplo pulsar peaton3_1 o peaton3_2:
sema1_1 verde peaton1_1 rojo
sema1_2 verde peaton1_2 rojo
sema1_3 verde peaton1_3 rojo
sema1_4 verde peaton1_4 rojo

sema2_1 verde peaton2_1 rojo
sema2_2 verde peaton2_2 rojo
sema2_3 verde peaton2_3 rojo
sema2_4 verde peaton2_4 rojo

sema3_1 rojo peaton3_1 verde
sema3_2 rojo peaton3_2 verde
sema3_3 rojo peaton3_3 verde
sema3_4 rojo peaton3_4 verde

sema4_1 rojo peaton4_1 verde
sema4_2 rojo peaton4_2 verde
sema4_3 rojo peaton4_3 verde
sema4_4 rojo peaton4_4 verde
